Model,Train Accuracy,Test Accuracy,Accuracy Gap,Test Precision,Test Recall,Train Weighted F1,Test Weighted F1,F1 Gap,Test Macro F1
"Random Forest (200, max_depth=10)",0.9696412143514259,0.8529411764705882,0.11670003788083771,0.8041813817459441,0.8529411764705882,0.9680357504779753,0.8241488903253609,0.14388686015261443,0.4953194953194953
Gradient Boosting (100),0.9696412143514259,0.8455882352941176,0.12405297905730828,0.8048406862745098,0.8455882352941176,0.9686050864256832,0.8231901987389256,0.1454148876867576,0.5020352781546812
